xpath, description, valueType, exampleValues, mappingRequired
/rss/channel/item/amg:series/amg:rights/amg:rightsTerritoryIncludes, https://www.ebu.ch/metadata/ontologies/ebucore/ebucore_rightsTerritoryIncludes.html Value as in https://www.ebu.ch/metadata/ontologies/skos/ebu_Iso3166_CountryCodeCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso3166_CountryCodeCS#_US", yes
/rss/channel/item/amg:series/media:thumbnail, Element to declare series thumbnail. Has only attributes and no value, xs:complexType, n/a, no 
/rss/channel/item/amg:series/media:thumbnail/@url, specifies the url of a series thumbnail, xs:anyUri, "https://www.example.com/series.jpg", no
/rss/channel/item/amg:series/media:thumbnail/@height, specifies the height of the thumbnail, xs:integer, "1080", no
/rss/channel/item/amg:series/media:thumbnail/@width, specifies the width of the thumbnail, xs:integer, "1920", no
/rss/channel/item/amg:series/media:title, Series title if any See: https://www.rssboard.org/media-rss#media-title, xs:string, "Prison Break", no
/rss/channel/item/amg:series/media:title/@amg:lang, specifies the language of the series title as defiend in https://www.ebu.ch/metadata/ontologies/skos/ebu_ISO639_1LanguageCodeCS.rdf, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso639_1LanguageCS#_en", yes
/rss/channel/item/amg:series/media:description, Short description of the series, xs:string, "A prison drama", no
/rss/channel/item/amg:series/media:description/@amg:lang, the language of the description as specified in https://www.ebu.ch/metadata/ontologies/skos/ebu_ISO639_1LanguageCodeCS.rdf, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso639_1LanguageCS#_en", yes
/rss/channel/item/amg:series/amg:genre, Genre of the series https://www.ebu.ch/metadata/ontologies/skos/ebu_ContentGenreCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_ContentGenreCS#_3.4", yes
/rss/channel/item/amg:series/amg:genre/@label, Label of the genre which is the same as the corresponding skos:prefLabel in https://www.ebu.ch/metadata/ontologies/skos/ebu_ContentGenreCS.rdf, xs:string, "Drama", no
/rss/channel/item/amg:series/media:credit, Series level credit info https://www.rssboard.org/media-rss#media-credit, xs:complexType, "Tom Cruise", no
/rss/channel/item/amg:series/media:credit/@amg:role, Role as defined in http://www.ebu.ch/metadata/ontologies/skos/ebu_RoleCodeCS.rdf See: https://www.ebu.ch/metadata/ontologies/skos/ebu_RoleCodeCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_RoleCodeCS#_25.9", yes
/rss/channel/item/amg:series/media:credit/@role, Role label as defined in https://www.rssboard.org/media-rss#media-credit, xs:string, "actor", no
/rss/channel/item/amg:series/amg:externalId, Standard external ID of a series as defined by 3rd party orgs like imdb eidr etc., xs:string, "tt3501074", no
/rss/channel/item/amg:series/amg:externalId/@amg:idType, IRI as defined in https://github.com/amagimedia/metadata/blob/main/skos/amagi_ebu_IdentifierTypeCS.rdf, xs:anuUri, "https://metadata.amagi.tv/skos/amagi_ebu_IdentifierTypeCS#_tmsid", yes
/rss/channel/item/amg:series/media:rating, https://www.rssboard.org/media-rss#media-rating Rating value at season level will belong to https://www.ebu.ch/metadata/ontologies/skos/ebu_ParentalGuidanceCode.rdf See: https://www.ebu.ch/metadata/ontologies/skos/ebu_PictureDisplayFormatCodeCS.htm, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_ParentalGuidanceCode#_14", yes
/rss/channel/item/amg:series/media:rating/@label, specifies the label of the rating which is same as skos:prefLabel in https://www.ebu.ch/metadata/ontologies/skos/ebu_ParentalGuidanceCode.rdf, xs:string, "PG-13", no
/rss/channel/item/amg:series/media:category, https://www.rssboard.org/media-rss#media-category, xs:complexType, <media:category scheme="http://search.yahoo.com/mrss/category_ schema">music/artist/album/song</media:category> <media:category scheme="urn:flickr:tags">mobile</media:category> <media:category scheme="http://dmoz.org" label="Ace Ventura - Pet Detective">Arts/Movies/Titles/A/Ace_Ventura_Series/Ace_Ventura_ -_Pet_Detective</media:category>, no
/rss/channel/item/amg:series/media:category/@label, specifies a human readable label for display, xs:string, "Ace Ventura - Pet Detective", no
/rss/channel/item/amg:series/media:category/@scheme, specifies the categorization scheme via a URI, xs:anyUri, "http://dmoz.org", no
/rss/channel/item/amg:series/amg:longDescription, Long description describing media object, xs:string, "series on stock. Set in time persion 1929-1935", no
/rss/channel/item/amg:series/amg:longDescription/@amg:lang, the language of the longDescription as specified in https://www.ebu.ch/metadata/ontologies/skos/ebu_ISO639_1LanguageCodeCS.rdf, xs:anyUri, "http://www.ebu.ch/metadata/ontologies/skos/ebu_Iso639_1LanguageCS#_en", yes
